fuming -2
gag -2
gagged -2
giddy -2
gloomy -2
glum -2
grave -2
greedy -2
grief -2
grieved -2
gross -2
gullibility -2
gullible -2
hapless -2
haplessness -2
hardship -2
harm -2
harmed -2
harmful -2
harming -2
harms -2
harried -2
harsh -2
harsher -2
harshest -2
haunted -2
havoc -2
heavyhearted -2
helpless -2
hesitant -2
hesitate -2
hindrance -2
hoax -2
homesick -2
hooligan -2
hooliganism -2
hooligans -2
hopeless -2
hopelessness -2
hostile -2
huckster -2
hunger -2
hurt -2
hurting -2
hurts -2
hypocritical -2
ignorance -2
ignorant -2
ignored -2
ill -2
illiteracy -2
illness -2
illnesses -2
impatient -2
imperfect -2
impotent -2
imprisoned -2
inability -2
inaction -2
inadequate -2
incapable -2
incapacitated -2
incensed -2
incompetence -2
incompetent -2
inconsiderate -2
inconvenience -2
inconvenient -2
indecisive -2
indifference -2
indifferent -2
indignant -2
indignation -2
indoctrinate -2
indoctrinated -2
indoctrinates -2
indoctrinating -2
ineffective -2
ineffectively -2
infected -2
inferior -2
inflamed -2
infringement -2
infuriate -2
infuriated -2
infuriates -2
infuriating -2
injured -2
injury -2
injustice -2
inquisition -2
insane -2
insanity -2
insecure -2
insensitive -2
insensitivity -2
insignificant -2
insipid -2
insult -2
insulted -2
insulting -2
insults -2
interrogated -2
interrupt -2
interrupted -2
interrupting -2
interruption -2
interrupts -2
intimidate -2
intimidated -2
intimidates -2
intimidating -2
intimidation -2
irresolute -2
itchy -2
jailed -2
jealous -2
jeopardy -2
joyless -2
lack -2
lackadaisical -2
lagged -2
lagging -2
lags -2
lame -2
lawsuit -2
lawsuits -2
lethargic -2
lethargy -2
libelous -2
lied -2
litigious -2
livid -2
lobby -2
lobbying -2
lonely -2
lonesome -2
lugubrious -2
meaningless -2
melancholy -2
menace -2
menaced -2
mess -2
messed -2
mindless -2
misbehave -2
misbehaved -2
misbehaves -2
misbehaving -2
misery -2
misgiving -2
misinformation -2
misinformed -2
misinterpreted -2
misreporting -2
misrepresentation -2
miss -2
missed -2
missing -2
mistake -2
mistaken -2
mistakes -2
mistaking -2
misunderstand -2
misunderstanding -2
misunderstands -2
misunderstood -2
moan -2
moaned -2
moaning -2
moans -2
mock -2
mocked -2
mocking -2
mocks -2
mongering -2
monopolize -2
monopolized -2
monopolizes -2
monopolizing -2
mourn -2
mourned -2
mournful -2
mourning -2
mourns -2
mumpish -2
murder -2
murderer -2
murders -2
n00b -2
naive -2
naïve -2
needy -2
negative -2
negativity -2
neglect -2
neglected -2
neglecting -2
neglects -2
nervous -2
nervously -2
nonsense -2
noob -2
nosey -2
notorious -2
obliterate -2
obliterated -2
obscene -2
obsolete -2
obstacle -2
obstacles -2
obstinate -2
odd -2
offend -2
offended -2
offender -2
offending -2
offends -2
oppressed -2
oppressive -2
optionless -2
outcry -2
outmaneuvered -2
overreact -2
overreacted -2
overreaction -2
overreacts -2
oversell -2
overselling -2
oversells -2
oversimplification -2
oversimplified -2
oversimplifies -2
oversimplify -2
overstatement -2
overstatements -2
pain -2
pained -2
pathetic -2
penalty -2
peril -2
perpetrator -2
perpetrators -2
perplexed -2
persecute -2
persecuted -2
persecutes -2
persecuting -2
perturbed -2
pesky -2
pessimism -2
pessimistic -2
petrified -2
phobic -2
pique -2
piqued -2
piteous -2
pity -2
poised -2
poison -2
poisoned -2
poisons -2
pollute -2
polluted -2
polluter -2
polluters -2
pollutes -2
poor -2
poorer -2
poorest -2
possessive -2
powerless -2
prblm -2
prblms -2
pressured -2
prison -2
prisoner -2
prisoners -2
problem -2
problems -2
profiteer -2
propaganda -2
prosecuted -2
protest -2
protesters -2
protesting -2
protests -2
punish -2
punished -2
punishes -2
punitive -2
puzzled -2
quaking -2
questionable -2
rage -2
rageful -2
rash -2
rebellion -2
recession -2
reckless -2
refuse -2
refused -2
refusing -2
regret -2
regretful -2
regrets -2
regretted -2
regretting -2
remorse -2
repulsed -2
resentful -2
restless -2
restrict -2
restricted -2
restricting -2
restriction -2
restricts -2
retard -2
retarded -2
revenge -2
revengeful -2
riot -2
riots -2
risk -2
risks -2
rob -2
robber -2
robed -2
robing -2
robs -2
ruin -2
ruined -2
ruining -2
ruins -2
sabotage -2
sad -2
sadden -2
saddened -2
sadly -2
sarcastic -2
scam -2
scams -2
scapegoat -2
scapegoats -2
scare -2
scared -2
scary -2
sceptical -2
scold -2
scorn -2
scornful -2
scream -2
screamed -2
screaming -2
screams -2
screwed -2
sedition -2
seditious -2
self-deluded -2
sentence -2
sentenced -2
sentences -2
sentencing -2
severe -2
shaky -2
shame -2
shamed -2
shameful -2
shattered -2
shock -2
shocked -2
shocking -2
shocks -2
short-sighted -2
short-sightedness -2
shortage -2
shortages -2
sick -2
sigh -2
singleminded -2
skeptic -2
skeptical -2
skepticism -2
skeptics -2
slam -2
slash -2
slashed -2
slashes -2
slashing -2
sleeplessness -2
sluggish -2
smear -2
smog -2
snub -2
snubbed -2
snubbing -2
snubs -2
somber -2
sorrow -2
sorrowful -2
spam -2
spamming -2
speculative -2
spiritless -2
spiteful -2
stab -2
stabbed -2
stabs -2
stall -2
stalled -2
stalling -2
stampede -2
startled -2
starve -2
starved -2
starves -2
starving -2
steal -2
steals -2
stereotype -2
stereotyped -2
stingy -2
stolen -2
strangled -2
stressed -2
stressor -2
stressors -2
stricken -2
strikers -2
struggle -2
struggled -2
struggles -2
struggling -2
stubborn -2
stuck -2
stunned -2
stupid -2
stupidly -2
subversive -2
suffer -2
suffering -2
suffers -2
suicidal -2
suicide -2
suing -2
sulking -2
sulky -2
sullen -2
suspicious -2
swear -2
swearing -2
swears -2
tard -2
tears -2
tense -2
thorny -2
thoughtless -2
threat -2
threaten -2
threatened -2
threatening -2
threatens -2
threats -2
thwart -2
thwarted -2
thwarting -2
thwarts -2
timid -2
timorous -2
tired -2
tits -2
toothless -2
torn -2
totalitarian -2
totalitarianism -2
tout -2
touted -2
touting -2
touts -2
tragedy -2
tragic -2
trapped -2
travesty -2
trembling -2
tremulous -2
tricked -2
trickery -2
trouble -2
troubled -2
troubles -2
tumor -2
unacceptable -2
unappreciated -2
unapproved -2
unaware -2
uncomfortable -2
unconcerned -2
undermine -2
undermined -2
undermines -2
undermining -2
undeserving -2
undesirable -2
uneasy -2
unemployment -2
unethical -2
unfair -2
unfocused -2
unfulfilled -2
unhappy -2
unhealthy -2
unimpressed -2
unintelligent -2
unjust -2
unlovable -2
unloved -2
unmotivated -2
unprofessional -2
unresearched -2
unsatisfied -2
unsecured -2
unsophisticated -2
unstable -2
unsupported -2
unwanted -2
unworthy -2
upset -2
upsets -2
upsetting -2
uptight -2
useless -2
uselessness -2
vague -2
vexation -2
vexing -2
vicious -2
violate -2
violated -2
violates -2
violating -2
virulent -2
vulnerability -2
vulnerable -2
walkout -2
walkouts -2
war -2
warfare -2
warn -2
warned -2
warns -2
wasted -2
wasting -2
weak -2
weakness -2
weary -2
weep -2
weeping -2
weird -2
wicked -2
woebegone -2
worthless -2
wreck -2
wrong -2
wronged -2
yucky -2
zealot -2
zealots -2
absentee -1
absentees -1
admit -1
admits -1
admitted -1
affected -1
afflicted -1
affronted -1
alas -1
alert -1
ambivalent -1
anti -1
apologise -1
apologised -1
apologises -1
apologising -1
apologize -1
apologized -1
apologizes -1
apologizing -1
apology -1
attack -1
attacked -1
attacking -1
attacks -1
avert -1
averted -1
averts -1
avoid -1
avoided -1
avoids -1
await -1
awaited -1
awaits -1
axe -1
axed -1
banish -1
battle -1
battles -1
beating -1
