file	total polar value	average polar value
fiona_apple7	2	0.1428571429
fiona_apple8	5	0.2941176471
fiona_apple9	-4	-0.0714285714
mike_ness1	7	0.3888888889
mike_ness10	7	0.3888888889
mike_ness11	8	0.5333333333
mike_ness12	13	0.4814814815
mike_ness13	-2	-0.3333333333
mike_ness14	-3	-0.1363636364
mike_ness15	12	0.5217391304
mike_ness16	-17	-0.5
mike_ness17	14	0.7368421053
mike_ness18	1	0.2
mike_ness19	-5	-0.5
mike_ness2	8	0.5333333333
mike_ness20	19	0.95
mike_ness21	-14	-0.875
mike_ness22	-15	-1.1538461539
mike_ness23	17	1
mike_ness24	-3	-0.5
mike_ness25	7	0.7777777778
mike_ness26	3	0.2307692308
mike_ness27	17	0.6538461538
mike_ness28	-59	-0.8428571429
mike_ness29	-28	-1.2727272727
mike_ness3	23	0.696969697
mike_ness30	-22	-1.0476190476
mike_ness31	-23	-1.3529411765
mike_ness32	-1	-0.0434782609
mike_ness33	8	0.4705882353
mike_ness34	24	0.6857142857
mike_ness35	-10	-0.4761904762
mike_ness36	-63	-1.2115384615
mike_ness37	-14	-0.56
mike_ness38	-20	-0.9090909091
mike_ness39	-3	-0.1071428571
mike_ness4	1	0.0769230769
mike_ness40	-14	-0.5833333333
mike_ness41	-13	-0.3513513514
mike_ness42	-3	-0.1666666667
mike_ness43	0	0
mike_ness5	13	1.0833333333
mike_ness6	-8	-0.7272727273
mike_ness7	-1	-0.0769230769
mike_ness8	20	0.7407407407
mike_ness9	17	0.8947368421
trent_reznor1	-5	-0.1923076923
trent_reznor10	4	0.4
trent_reznor11	4	0.2352941176
trent_reznor12	12	0.9230769231
trent_reznor13	-7	-1
trent_reznor14	-1	-0.3333333333
trent_reznor15	-26	-0.9285714286
trent_reznor16	7	0.875
trent_reznor17	-14	-0.9333333333
trent_reznor18	-18	-0.4615384615
trent_reznor19	-45	-0.9375
trent_reznor2	3	0.1666666667
trent_reznor20	11	0.4583333333
trent_reznor21	15	0.5
trent_reznor22	-42	-1.3125
trent_reznor23	-29	-0.935483871
trent_reznor24	16	0.3076923077
trent_reznor25	-95	-1.4615384615
trent_reznor26	-30	-2.7272727273
trent_reznor27	-16	-1.1428571429
trent_reznor28	-5	-1
trent_reznor29	-21	-1.6153846154
trent_reznor3	-6	-0.25
trent_reznor30	-6	-0.5454545455
trent_reznor31	-3	-0.75
trent_reznor32	2	0.4
trent_reznor33	-17	-1.2142857143
trent_reznor34	-1	-0.1111111111
trent_reznor35	3	0.375
trent_reznor36	1	0.1
trent_reznor37	-15	-0.8333333333
trent_reznor38	-6	-0.5454545455
trent_reznor39	-13	-1.8571428571
trent_reznor4	-2	-0.1538461538
trent_reznor40	7	0.3043478261
trent_reznor41	-4	-0.4444444444
trent_reznor42	12	1.3333333333
trent_reznor43	7	0.5833333333
trent_reznor44	3	0.6
trent_reznor45	-2	-0.0869565217
trent_reznor5	-4	-0.1666666667
trent_reznor6	-20	-0.9090909091
trent_reznor7	-15	-0.3191489362
trent_reznor8	-30	-0.7142857143
trent_reznor9	14	0.9333333333
elliott_smith1	6	0.4615384615
elliott_smith10	-8	-1.3333333333
elliott_smith11	-9	-0.75
elliott_smith12	-3	-0.2
elliott_smith13	-6	-0.4615384615
elliott_smith14	-15	-0.9375
elliott_smith15	-10	-2
elliott_smith16	-15	-1.1538461539
elliott_smith17	-20	-1.4285714286
elliott_smith18	-1	-0.125
elliott_smith19	0	0
elliott_smith2	4	0.5
elliott_smith20	-8	-1
elliott_smith21	3	0.3
elliott_smith22	24	1.2
elliott_smith23	26	2
elliott_smith24	-2	-0.1666666667
elliott_smith25	0	0
elliott_smith26	5	0.625
elliott_smith27	12	0.8
elliott_smith28	-5	-1.25
elliott_smith29	1	1
elliott_smith3	2	0.0909090909
elliott_smith30	11	1.1
elliott_smith31	-2	-0.2
elliott_smith32	1	0.1428571429
elliott_smith33	-2	-0.1111111111
elliott_smith34	28	2.1538461539
elliott_smith35	-2	-0.5
elliott_smith36	7	0.5833333333
elliott_smith37	6	0.75
elliott_smith38	-11	-0.6470588235
elliott_smith39	3	0.2727272727
elliott_smith4	4	0.5
elliott_smith40	-2	-0.0588235294
elliott_smith41	17	1.5454545455
elliott_smith42	-10	-0.5555555556
elliott_smith43	-3	-0.375
elliott_smith44	-6	-0.75
elliott_smith45	33	1.1379310345
elliott_smith46	-1	-0.05
elliott_smith47	12	0.6315789474
elliott_smith48	-6	-1.2
elliott_smith49	1	0.0909090909
elliott_smith5	-44	-1.8333333333
elliott_smith50	-18	-0.75
elliott_smith51	-13	-0.8125
elliott_smith52	-2	-0.2
elliott_smith53	-9	-0.6428571429
elliott_smith54	11	1.5714285714
elliott_smith55	0	0
elliott_smith56	1	0.1111111111
elliott_smith57	3	0.1578947368
elliott_smith58	-15	-0.7142857143
elliott_smith59	-3	-0.2307692308
elliott_smith6	0	0
elliott_smith60	-17	-1
elliott_smith61	17	0.7727272727
elliott_smith62	0	0
elliott_smith63	-8	-1.3333333333
elliott_smith64	-8	-0.6153846154
elliott_smith65	2	1
elliott_smith66	-3	-0.1578947368
elliott_smith67	12	1.0909090909
elliott_smith68	18	0.8181818182
elliott_smith69	12	1.2
elliott_smith7	-1	-0.1
elliott_smith70	-6	-0.375
elliott_smith71	-16	-0.5
elliott_smith72	-9	-0.45
elliott_smith73	6	0.6666666667
elliott_smith74	-1	-0.0526315789
elliott_smith75	-12	-1.3333333333
elliott_smith76	-17	-2.125
elliott_smith77	-3	-0.3333333333
elliott_smith78	-14	-0.6666666667
elliott_smith79	-6	-0.3333333333
elliott_smith8	7	0.6363636364
elliott_smith80	-33	-1.375
elliott_smith81	-32	-1.0666666667
elliott_smith82	-3	-0.6
elliott_smith83	-8	-1.6
elliott_smith84	-12	-0.75
elliott_smith85	15	0.4838709677
elliott_smith86	-4	-0.3076923077
elliott_smith87	-5	-0.5555555556
elliott_smith88	18	0.72
elliott_smith89	3	0.125
elliott_smith9	-6	-0.5
elliott_smith90	-4	-0.3333333333
elliott_smith91	11	2.75
elliott_smith92	-12	-0.8571428571
elliott_smith93	-3	-0.75
elliott_smith94	18	2
elliott_smith95	-4	-0.3636363636
elliott_smith96	0	0
elliott_smith97	5	0.3333333333
elliott_smith98	15	0.5769230769
elliott_smith99	-2	-0.1333333333
ian_curtis1	-9	-0.8181818182
ian_curtis10	-8	-0.7272727273
ian_curtis11	-2	-0.25
ian_curtis12	0	0
ian_curtis13	-2	-0.1818181818
ian_curtis14	48	2.0869565217
ian_curtis15	-4	-0.3333333333
ian_curtis16	-11	-0.5789473684
ian_curtis17	-3	-1
ian_curtis18	18	1.2
ian_curtis19	2	0.1428571429
ian_curtis2	6	0.5
ian_curtis20	-32	-0.9696969697
ian_curtis21	-6	-0.3333333333
ian_curtis22	-2	-0.25
ian_curtis23	-10	-1
ian_curtis24	-3	-0.6
ian_curtis25	5	0.7142857143
ian_curtis26	-1	-0.1111111111
ian_curtis27	-4	-0.4
ian_curtis28	7	0.3181818182
ian_curtis29	-4	-0.8
ian_curtis3	-15	-0.8333333333
ian_curtis30	-1	-0.0769230769
ian_curtis31	-3	-0.1875
ian_curtis32	-22	-1.4666666667
ian_curtis33	-4	-0.4
ian_curtis34	2	0.1176470588
