file	drug_words.txt.uniq_lem.txt	mpqa_pos_words.txt.uniq_lem.txt	love_words.txt.uniq_lem.txt	mpqa_neut_words.txt.uniq_lem.txt	2-3PTokens.txt.uniq_lem.txt	1PTokens.txt.uniq_lem.txt	action_verbs.txt.uniq_lem.txt	1PSTokens.txt.uniq_lem.txt	death_words.txt.uniq_lem.txt	mpqa_neg_words.txt.uniq_lem.txt	sensual_words.txt.uniq_lem.txt	concrete_nouns.txt.uniq_lem.txt
fiona_apple.txt.tkzd.2.txt	0	19	16	17	24	34	0	34	5	35	2	37
fiona_apple.txt.tkzd.20.txt	3	18	14	8	4	21	0	21	10	23	7	25
fiona_apple.txt.tkzd.21.txt	3	17	12	7	11	19	0	19	4	14	9	27
fiona_apple.txt.tkzd.22.txt	6	30	29	18	15	26	1	25	31	9	16	33
fiona_apple.txt.tkzd.23.txt	7	31	6	46	18	36	1	36	5	24	16	32
fiona_apple.txt.tkzd.24.txt	2	47	49	11	29	32	1	32	5	24	33	23
fiona_apple.txt.tkzd.25.txt	5	16	23	16	35	32	0	32	17	42	16	36
fiona_apple.txt.tkzd.26.txt	5	16	14	11	17	22	1	19	6	20	7	35
fiona_apple.txt.tkzd.27.txt	7	37	47	24	30	29	0	29	4	56	16	52
fiona_apple.txt.tkzd.28.txt	11	25	18	19	6	38	0	38	4	16	4	43
fiona_apple.txt.tkzd.29.txt	5	51	18	55	44	34	0	34	13	41	16	68
fiona_apple.txt.tkzd.3.txt	4	25	22	12	39	20	0	20	9	15	7	33
fiona_apple.txt.tkzd.30.txt	0	23	12	21	17	31	0	30	4	20	6	39
fiona_apple.txt.tkzd.31.txt	19	35	27	17	39	38	0	38	10	35	1	50
fiona_apple.txt.tkzd.32.txt	7	37	13	32	23	21	0	21	4	27	8	30
fiona_apple.txt.tkzd.4.txt	3	17	8	14	7	25	1	25	6	14	4	27
fiona_apple.txt.tkzd.5.txt	0	33	25	23	20	29	3	27	13	31	18	41
fiona_apple.txt.tkzd.6.txt	9	22	11	16	27	31	0	23	4	24	5	20
fiona_apple.txt.tkzd.7.txt	3	29	20	27	28	47	0	47	20	32	7	64
