index	artist	drug_words	mpqa_pos_words	love_words	mpqa_neut_words	2-3PTokens	1PTokens	action_verbs	1PSTokens	death_words	mpqa_neg_words	sensual_words	concrete_nouns
27	Fiona Apple	7	37	47	24	30	29	0	29	4	56	16	52
28	Fiona Apple	11	25	18	19	6	38	0	38	4	16	4	43
29	Fiona Apple	5	51	18	55	44	34	0	34	13	41	16	68
30	Fiona Apple	0	23	12	21	17	31	0	30	4	20	6	39
31	Fiona Apple	19	35	27	17	39	38	0	38	10	35	1	50
32	Fiona Apple	7	37	13	32	23	21	0	21	4	27	8	30
1	Johnny Cash	4	23	15	9	13	33	0	33	10	16	5	30
2	Johnny Cash	1	23	18	14	29	14	0	14	19	16	10	31
3	Johnny Cash	4	7	32	7	49	3	0	3	16	23	4	55
4	Johnny Cash	3	23	12	4	18	22	0	22	11	14	11	42
5	Johnny Cash	4	15	7	8	5	24	3	24	7	21	5	41
6	Johnny Cash	2	30	32	11	23	5	0	5	11	22	12	46
7	Johnny Cash	1	8	6	39	9	20	0	20	3	43	30	65
8	Johnny Cash	8	28	34	12	16	25	0	19	4	50	7	48
9	Johnny Cash	4	23	13	21	13	21	3	17	8	25	14	34
10	Johnny Cash	0	16	22	7	33	15	1	15	12	49	13	22
11	Johnny Cash	5	16	7	2	5	9	1	0	4	20	4	12
12	Johnny Cash	5	16	15	6	37	7	1	7	2	46	21	31
13	Johnny Cash	2	30	35	7	23	25	0	25	12	21	13	20
14	Johnny Cash	0	9	13	10	19	21	0	21	5	16	0	47
15	Johnny Cash	4	30	5	17	12	16	1	16	6	20	16	35
16	Johnny Cash	3	16	17	15	5	20	1	8	9	24	9	33
17	Johnny Cash	30	30	13	27	6	19	1	5	3	23	5	71
18	Johnny Cash	2	11	14	7	16	0	1	0	8	11	2	37
19	Johnny Cash	0	6	9	11	7	17	0	15	1	7	8	35
20	Johnny Cash	6	19	23	7	43	4	0	4	8	21	5	39
21	Johnny Cash	7	35	17	12	28	15	0	14	7	19	8	66
22	Johnny Cash	0	8	8	0	6	9	0	7	2	9	4	36
1	Mike Ness	3	15	29	3	10	23	0	23	11	57	9	25
2	Mike Ness	1	22	17	17	33	12	0	12	5	21	8	34
3	Mike Ness	3	39	25	22	23	10	0	10	5	32	14	40
4	Mike Ness	9	5	12	31	16	24	0	23	19	39	4	39
