% 1. Title: Suicide/Non-suicide Project 2 Training Set Version 1 without Fiona Apple
% 
% 2. Sources:
%      (a) Creator: Matt Mulholland and Joanne Quinn
%      (b) Contents
%		Non-suicide Lyricists (253 songs):
%			1. Bob Dylan (123 songs)
%			2. Bob Marley (42 songs)
%			3. Mike Ness (43 songs)
%			4. Trent Reznor (45 songs)
%		Suicide Lyricists (280 songs):
%			1. Elliott Smith (99 songs)
%			2. Ian Curtis (40 songs)
%			3. Kurt Cobain (53 songs)
%			4. Pete Ham (34 songs)
%			5. Phil Ochs (54 songs)
%      (c) Date: August, 2013  
%
@relation song

@ATTRIBUTE	class	{suicide,non-suicide}
@ATTRIBUTE	passive/tok	numeric
@ATTRIBUTE	passive/typ	numeric
@ATTRIBUTE	passive/time	numeric
@ATTRIBUTE	(I+mental-verb)/time	numeric
@ATTRIBUTE	neut/typ	numeric
@ATTRIBUTE	diff_between_sums_across_all_n-grams	numeric
@ATTRIBUTE	percent_non-suicide_3-grams	numeric
@ATTRIBUTE	percent_non-suicide_4-grams	numeric
@ATTRIBUTE	diff_for_1-gram_percentages	numeric
@ATTRIBUTE	average_for_all_n-grams:_non-suicide	numeric
@ATTRIBUTE	diff_between_averages_for_all_n-grams	numeric
@ATTRIBUTE	det/tok	numeric

@DATA
non-suicide,0.0055248619,0.0095238095,0.0141843972,0,0.0666666667,-0.1727080885,0.0683544304,0.0243902439,-0.0520833333,0.0506206063,-0.0287846814,0.0962441315
non-suicide,0.0157894737,0.0352941176,0.0179640719,0,0.0941176471,0.0921634727,0.0275862069,0.0130718954,0,0.0278102185,0.0153605788,0.0697674419
non-suicide,0.0028735632,0.0093457944,0.0042735043,0.0128205128,0.1962616822,-0.2678455459,0.1285714286,0.0403587444,-0.06,0.0663110572,-0.0446409243,0.0881612091
non-suicide,0,0,0,0,0.0330578512,-0.0406851738,0.0338164251,0.0046948357,-0.0166666667,0.027028791,-0.0067808623,0.1131221719
non-suicide,0,0,0,0,0.0614035088,-0.0222833117,0.0070257611,0.0022222222,0.0092592593,0.0270796217,-0.0037138853,0.130952381
non-suicide,0,0,0,0.0432432432,0.0549450549,-0.1019364148,0.0666666667,0.0220994475,-0.0112359551,0.034856687,-0.0169894025,0.0701754386
non-suicide,0.0115384615,0.0247933884,0.0193548387,0.0322580645,0.0661157025,-0.2604314528,0.1088709677,0.0463320463,-0.0588235294,0.0551669361,-0.0434052421,0.0555555556
non-suicide,0.0050505051,0.01179941,0.0102564103,0.0666666667,0.0648967552,-0.1300659703,0.0502283105,0.0142076503,-0.0580645161,0.0488221201,-0.0216776617,0.0887700535
non-suicide,0.006263048,0.0161290323,0.0090909091,0.0090909091,0.1021505376,0.0361743754,0.049132948,0.0112044818,0.0517241379,0.0322530789,0.0060290626,0.0724381625
non-suicide,0.0024875622,0.0043859649,0.0029411765,0,0.0570175439,-0.0044228218,0.015503876,0.0100250627,0,0.0260548475,-0.000737137,0.1126760563
